Ref,Val,Package,PosX,PosY,Rot,Side
"C2","220uF/16V","CP_EIA-7343-43_Kemet-X",140.900000,-105.800000,90.000000,top
"C3","10uF/16V","CP_EIA-3216-18_Kemet-A",155.000000,-107.900000,90.000000,top
"C4","1uF","C_0805_2012Metric",155.000000,-102.900000,270.000000,top
"C5","22uF/16V","CP_EIA-6032-28_Kemet-C",159.800000,-106.000000,270.000000,top
"C6","0.1uF","C_0805_2012Metric",141.900000,-98.200000,0.000000,top
"C7","1uF","C_0805_2012Metric",106.800000,-122.200000,180.000000,top
"C8","1uF","C_0805_2012Metric",162.100000,-90.300000,0.000000,top
"C9","0.1uF","C_0805_2012Metric",106.800000,-125.900000,180.000000,top
"C10","0.1uF","C_0805_2012Metric",162.060000,-86.600000,0.000000,top
"C11","10uF/16V","CP_EIA-3216-18_Kemet-A",171.900000,-93.200000,90.000000,top
"C12","1uF","C_0805_2012Metric",175.400000,-100.700000,0.000000,top
"C13","22uF/16V","CP_EIA-6032-28_Kemet-C",185.200000,-100.900000,0.000000,top
"C14","1uF","C_0805_2012Metric",195.200000,-91.800000,90.000000,top
"C15","0.1uF","C_0805_2012Metric",190.100000,-91.800000,90.000000,top
"D1","LED_ALT","LED_0805_2012Metric_Castellated",152.500000,-148.600000,90.000000,top
"D2","D","D_SMB",135.100000,-120.800000,270.000000,top
"IC1","PCF8574ADWR","PCF8574ADWR",119.000000,-124.700000,90.000000,top
"Q1","MMBT3906","SOT-23",128.300000,-120.100000,270.000000,top
"R1","10K","R_0805_2012Metric",99.000000,-141.200000,0.000000,top
"R2","10K","R_0805_2012Metric",174.700000,-84.487500,270.000000,top
"R3","10K","R_0805_2012Metric",195.400000,-85.100000,270.000000,top
"R4","10K","R_0805_2012Metric",119.200000,-141.287500,90.000000,top
"R5","1K","R_0805_2012Metric",128.387500,-124.800000,180.000000,top
"R6","330","R_0805_2012Metric",152.500000,-143.300000,270.000000,top
"R7","330","R_0805_2012Metric",203.400000,-113.900000,180.000000,top
"R8","10K","R_0805_2012Metric",207.300000,-97.500000,90.000000,top
"U1","AZ1117-3.3","SOT-223-3_TabPin2",148.700000,-105.800000,90.000000,top
"U2","ADS1115IDGS","TSSOP-10_3x3mm_P0.5mm",162.000000,-94.200000,180.000000,top
"U3","AZ1117-5.0","SOT-223-3_TabPin2",179.500000,-92.800000,0.000000,top
"U4","DAC081C081CIMK","SOT-23-6",194.000000,-99.300000,180.000000,top
